date,open,close,high,low,volume
2020-08-11 10:25:00,10.66,10.66,10.68,10.66,17569.0
2020-08-11 10:20:00,10.66,10.67,10.68,10.66,15267.7
2020-08-11 10:15:00,10.65,10.66,10.68,10.65,27024.4
2020-08-11 10:10:00,10.63,10.66,10.66,10.62,16049.9
2020-08-11 10:05:00,10.62,10.62,10.63,10.59,14105.0
2020-08-11 10:00:00,10.66,10.61,10.67,10.61,15966.0
2020-08-11 09:55:00,10.65,10.66,10.68,10.64,26657.0
2020-08-11 09:50:00,10.66,10.66,10.66,10.62,24888.0
2020-08-11 09:45:00,10.67,10.65,10.68,10.63,50370.0
2020-08-11 09:40:00,10.61,10.67,10.67,10.6,48003.2
2020-08-11 09:35:00,10.54,10.62,10.62,10.52,42389.7
2020-08-10 15:00:00,10.51,10.51,10.52,10.5,3156.0
2020-08-10 14:55:00,10.52,10.52,10.53,10.5,15862.0
2020-08-10 14:50:00,10.53,10.52,10.53,10.5,5832.0
2020-08-10 14:45:00,10.51,10.53,10.53,10.5,10456.6
2020-08-10 14:40:00,10.51,10.52,10.53,10.5,7879.15
2020-08-10 14:35:00,10.54,10.51,10.55,10.51,12581.8
2020-08-10 14:30:00,10.54,10.54,10.55,10.53,4124.0
2020-08-10 14:25:00,10.53,10.55,10.55,10.53,4417.79
2020-08-10 14:20:00,10.54,10.53,10.55,10.53,4459.26
2020-08-10 14:15:00,10.54,10.53,10.55,10.53,6929.88
2020-08-10 14:10:00,10.54,10.54,10.55,10.53,7126.0
2020-08-10 14:05:00,10.53,10.54,10.55,10.53,16047.6
2020-08-10 14:00:00,10.54,10.54,10.54,10.53,2002.0
2020-08-10 13:55:00,10.53,10.54,10.54,10.52,2751.3
2020-08-10 13:50:00,10.53,10.53,10.54,10.52,3693.43
2020-08-10 13:45:00,10.52,10.53,10.54,10.51,3721.4
2020-08-10 13:40:00,10.53,10.52,10.55,10.52,5414.54
2020-08-10 13:35:00,10.55,10.53,10.55,10.53,4322.3
2020-08-10 13:30:00,10.55,10.53,10.55,10.53,5113.6
2020-08-10 13:25:00,10.54,10.55,10.55,10.53,4368.0
2020-08-10 13:20:00,10.52,10.55,10.55,10.52,7378.0
2020-08-10 13:15:00,10.51,10.52,10.53,10.51,3255.77
2020-08-10 13:10:00,10.52,10.51,10.53,10.5,2573.0
2020-08-10 13:05:00,10.51,10.53,10.54,10.5,14422.4
2020-08-10 11:30:00,10.51,10.51,10.53,10.51,2544.01
2020-08-10 11:25:00,10.55,10.51,10.55,10.51,6049.56
2020-08-10 11:20:00,10.54,10.54,10.55,10.53,7752.46
2020-08-10 11:15:00,10.54,10.54,10.55,10.53,9244.32
2020-08-10 11:10:00,10.54,10.53,10.55,10.53,4714.0
2020-08-10 11:05:00,10.54,10.54,10.55,10.53,6255.0
2020-08-10 11:00:00,10.53,10.55,10.56,10.51,8649.0
2020-08-10 10:55:00,10.53,10.53,10.54,10.52,7938.68
2020-08-10 10:50:00,10.54,10.53,10.55,10.51,11466.1
2020-08-10 10:45:00,10.56,10.53,10.56,10.53,15634.2
2020-08-10 10:40:00,10.55,10.55,10.56,10.53,30783.4
2020-08-10 10:35:00,10.51,10.55,10.55,10.5,29980.3
2020-08-10 10:30:00,10.5,10.51,10.51,10.49,5145.04
2020-08-10 10:25:00,10.52,10.5,10.52,10.48,9051.39
2020-08-10 10:20:00,10.49,10.51,10.52,10.48,22732.4
2020-08-10 10:15:00,10.49,10.49,10.52,10.49,28589.7
2020-08-10 10:10:00,10.45,10.49,10.5,10.43,13082.7
2020-08-10 10:05:00,10.42,10.45,10.45,10.41,9775.27
2020-08-10 10:00:00,10.42,10.42,10.44,10.41,9514.26
2020-08-10 09:55:00,10.42,10.41,10.43,10.39,11062.1
2020-08-10 09:50:00,10.47,10.42,10.47,10.42,20740.2
2020-08-10 09:45:00,10.49,10.48,10.49,10.46,10453.5
2020-08-10 09:40:00,10.45,10.49,10.5,10.43,23224.1
2020-08-10 09:35:00,10.42,10.45,10.46,10.42,24897.2
2020-08-07 15:00:00,10.42,10.43,10.44,10.42,2872.0
2020-08-07 14:55:00,10.43,10.42,10.44,10.41,4033.0
2020-08-07 14:50:00,10.41,10.41,10.43,10.4,5043.0
2020-08-07 14:45:00,10.41,10.4,10.43,10.4,5300.89
2020-08-07 14:40:00,10.43,10.42,10.43,10.41,6746.0
2020-08-07 14:35:00,10.43,10.43,10.44,10.41,4384.0
2020-08-07 14:30:00,10.43,10.44,10.44,10.42,4068.74
2020-08-07 14:25:00,10.43,10.43,10.45,10.42,5705.0
2020-08-07 14:20:00,10.43,10.44,10.45,10.43,4420.0
2020-08-07 14:15:00,10.43,10.43,10.44,10.4,8310.26
2020-08-07 14:10:00,10.44,10.43,10.45,10.43,3895.5
2020-08-07 14:05:00,10.4,10.44,10.45,10.4,6232.0
2020-08-07 14:00:00,10.4,10.4,10.43,10.4,5276.73
2020-08-07 13:55:00,10.4,10.4,10.42,10.4,5181.6
2020-08-07 13:50:00,10.4,10.4,10.42,10.4,3869.0
2020-08-07 13:45:00,10.4,10.4,10.42,10.39,5715.0
2020-08-07 13:40:00,10.39,10.39,10.41,10.39,7407.5
2020-08-07 13:35:00,10.37,10.38,10.4,10.36,11478.7
2020-08-07 13:30:00,10.37,10.37,10.38,10.36,10184.7
2020-08-07 13:25:00,10.39,10.37,10.39,10.37,6273.23
2020-08-07 13:20:00,10.37,10.38,10.4,10.37,10661.3
2020-08-07 13:15:00,10.39,10.38,10.4,10.38,10741.0
2020-08-07 13:10:00,10.38,10.4,10.4,10.37,8023.0
2020-08-07 13:05:00,10.4,10.37,10.4,10.37,22452.0
2020-08-07 11:30:00,10.42,10.4,10.43,10.4,6450.0
2020-08-07 11:25:00,10.42,10.41,10.44,10.41,6259.58
2020-08-07 11:20:00,10.41,10.43,10.45,10.41,13764.4
2020-08-07 11:15:00,10.44,10.41,10.44,10.41,18921.3
2020-08-07 11:10:00,10.44,10.44,10.45,10.43,8636.5
2020-08-07 11:05:00,10.43,10.44,10.45,10.43,5818.77
2020-08-07 11:00:00,10.44,10.43,10.45,10.43,3599.03
2020-08-07 10:55:00,10.44,10.44,10.45,10.43,5865.91
2020-08-07 10:50:00,10.42,10.44,10.44,10.42,4825.3
2020-08-07 10:45:00,10.44,10.43,10.45,10.43,10011.0
2020-08-07 10:40:00,10.43,10.44,10.45,10.43,8510.46
2020-08-07 10:35:00,10.46,10.44,10.46,10.42,22387.0
2020-08-07 10:30:00,10.45,10.46,10.46,10.44,10413.0
2020-08-07 10:25:00,10.46,10.45,10.47,10.45,11703.8
2020-08-07 10:20:00,10.47,10.46,10.48,10.46,8237.01
2020-08-07 10:15:00,10.5,10.5,10.51,10.49,5935.0
2020-08-07 10:10:00,10.49,10.5,10.53,10.48,15587.6
2020-08-07 10:05:00,10.46,10.47,10.51,10.46,12325.2
2020-08-07 10:00:00,10.47,10.46,10.47,10.45,4784.25
2020-08-07 09:55:00,10.46,10.48,10.49,10.45,13614.9
2020-08-07 09:50:00,10.42,10.46,10.46,10.42,12419.9
2020-08-07 09:45:00,10.44,10.43,10.45,10.42,13564.0
2020-08-07 09:40:00,10.44,10.44,10.47,10.43,17733.1
2020-08-07 09:35:00,10.51,10.45,10.51,10.44,19353.9
2020-08-06 15:00:00,10.51,10.53,10.53,10.5,7236.6
2020-08-06 14:55:00,10.51,10.51,10.53,10.5,17618.4
2020-08-06 14:50:00,10.51,10.51,10.52,10.49,8988.42
2020-08-06 14:45:00,10.49,10.5,10.51,10.48,7484.03
2020-08-06 14:40:00,10.48,10.49,10.5,10.48,10166.1
2020-08-06 14:35:00,10.48,10.49,10.5,10.47,7439.56
2020-08-06 14:30:00,10.49,10.48,10.49,10.47,6292.72
2020-08-06 14:25:00,10.46,10.49,10.5,10.46,6693.8
2020-08-06 14:20:00,10.47,10.46,10.47,10.45,3831.35
2020-08-06 14:15:00,10.46,10.47,10.47,10.45,2697.84
2020-08-06 14:10:00,10.45,10.46,10.47,10.44,3822.15
2020-08-06 14:05:00,10.44,10.45,10.45,10.43,3535.07
2020-08-06 14:00:00,10.43,10.44,10.45,10.42,8035.07
2020-08-06 13:55:00,10.44,10.43,10.45,10.43,11378.0
2020-08-06 13:50:00,10.44,10.44,10.45,10.43,4908.0
2020-08-06 13:45:00,10.44,10.44,10.45,10.43,8291.25
2020-08-06 13:40:00,10.46,10.44,10.46,10.43,9699.86
2020-08-06 13:35:00,10.48,10.46,10.48,10.46,2538.0
2020-08-06 13:30:00,10.47,10.47,10.48,10.46,2914.13
2020-08-06 13:25:00,10.47,10.47,10.48,10.46,4540.96
2020-08-06 13:20:00,10.49,10.47,10.49,10.46,5340.36
2020-08-06 13:15:00,10.5,10.48,10.5,10.48,3673.65
2020-08-06 13:10:00,10.46,10.5,10.5,10.46,5545.72
2020-08-06 13:05:00,10.48,10.47,10.49,10.46,4094.0
2020-08-06 11:30:00,10.47,10.48,10.5,10.45,12064.2
2020-08-06 11:25:00,10.48,10.47,10.49,10.46,4734.0
2020-08-06 11:20:00,10.45,10.49,10.49,10.44,5472.01
2020-08-06 11:15:00,10.44,10.45,10.46,10.44,5221.0
2020-08-06 11:10:00,10.44,10.43,10.45,10.42,7538.0
2020-08-06 11:05:00,10.42,10.44,10.44,10.41,18045.8
2020-08-06 11:00:00,10.46,10.42,10.46,10.41,12732.7
2020-08-06 10:55:00,10.45,10.46,10.47,10.45,5026.93
2020-08-06 10:50:00,10.46,10.45,10.46,10.44,11138.1
2020-08-06 10:45:00,10.47,10.46,10.47,10.46,5836.22
2020-08-06 10:40:00,10.46,10.47,10.48,10.45,13735.9
2020-08-06 10:35:00,10.47,10.47,10.48,10.46,11890.0
2020-08-06 10:30:00,10.5,10.47,10.51,10.47,14692.0
2020-08-06 10:25:00,10.5,10.5,10.52,10.5,7216.03
